scenario,class,day,emissions_kgCO2
A,truck,1,3455.8199999999997
A,truck,2,3455.8199999999997
A,truck,3,3455.8199999999997
A,truck,4,3455.8199999999997
A,truck,5,3455.8199999999997
A,truck,6,3455.8199999999997
A,truck,7,3455.8199999999997
A,truck,8,3455.8199999999997
A,truck,9,3455.8199999999997
A,truck,10,3455.8199999999997
A,truck,11,3455.8199999999997
A,truck,12,3455.8199999999997
A,truck,13,3455.8199999999997
A,truck,14,3455.8199999999997
A,truck,15,3455.8199999999997
A,truck,16,3455.8199999999997
A,truck,17,3455.8199999999997
A,truck,18,3455.8199999999997
A,truck,19,3455.8199999999997
A,truck,20,3455.8199999999997
A,truck,21,3455.8199999999997
A,truck,22,3455.8199999999997
A,truck,23,3455.8199999999997
A,truck,24,3455.8199999999997
A,truck,25,3455.8199999999997
A,truck,26,3455.8199999999997
A,truck,27,3455.8199999999997
A,truck,28,3455.8199999999997
A,truck,29,3455.8199999999997
A,truck,30,3455.8199999999997
A,truck,31,3455.8199999999997
A,truck,32,3455.8199999999997
A,truck,33,3455.8199999999997
A,truck,34,3455.8199999999997
A,truck,35,3455.8199999999997
A,truck,36,3455.8199999999997
A,truck,37,3455.8199999999997
A,truck,38,3455.8199999999997
A,truck,39,3455.8199999999997
A,truck,40,3455.8199999999997
A,truck,41,3455.8199999999997
A,truck,42,3455.8199999999997
A,truck,43,3455.8199999999997
A,truck,44,3455.8199999999997
A,truck,45,3455.8199999999997
A,truck,46,3455.8199999999997
A,truck,47,3455.8199999999997
A,truck,48,3455.8199999999997
A,truck,49,3455.8199999999997
A,truck,50,3455.8199999999997
A,truck,51,3455.8199999999997
A,truck,52,3455.8199999999997
A,truck,53,3455.8199999999997
A,truck,54,3455.8199999999997
A,truck,55,3455.8199999999997
A,truck,56,3455.8199999999997
A,truck,57,3455.8199999999997
A,truck,58,3455.8199999999997
A,truck,59,3455.8199999999997
A,truck,60,3455.8199999999997
A,tank,1,28338.25
A,tank,2,28338.25
A,tank,3,28338.25
A,tank,4,28338.25
A,tank,5,28338.25
A,tank,6,28338.25
A,tank,7,28338.25
A,tank,8,28338.25
A,tank,9,28338.25
A,tank,10,28338.25
A,tank,11,28338.25
A,tank,12,28338.25
A,tank,13,28338.25
A,tank,14,28338.25
A,tank,15,28338.25
A,tank,16,28338.25
A,tank,17,28338.25
A,tank,18,28338.25
A,tank,19,28338.25
A,tank,20,28338.25
A,tank,21,28338.25
A,tank,22,28338.25
A,tank,23,28338.25
A,tank,24,28338.25
A,tank,25,28338.25
A,tank,26,28338.25
A,tank,27,28338.25
A,tank,28,28338.25
A,tank,29,28338.25
A,tank,30,28338.25
A,tank,31,28338.25
A,tank,32,28338.25
A,tank,33,28338.25
A,tank,34,28338.25
A,tank,35,28338.25
A,tank,36,28338.25
A,tank,37,28338.25
A,tank,38,28338.25
A,tank,39,28338.25
A,tank,40,28338.25
A,tank,41,28338.25
A,tank,42,28338.25
A,tank,43,28338.25
A,tank,44,28338.25
A,tank,45,28338.25
A,tank,46,28338.25
A,tank,47,28338.25
A,tank,48,28338.25
A,tank,49,28338.25
A,tank,50,28338.25
A,tank,51,28338.25
A,tank,52,28338.25
A,tank,53,28338.25
A,tank,54,28338.25
A,tank,55,28338.25
A,tank,56,28338.25
A,tank,57,28338.25
A,tank,58,28338.25
A,tank,59,28338.25
A,tank,60,28338.25
A,aircraft,1,23748.899999999998
A,aircraft,2,23748.899999999998
A,aircraft,3,23748.899999999998
A,aircraft,4,23748.899999999998
A,aircraft,5,23748.899999999998
A,aircraft,6,23748.899999999998
A,aircraft,7,23748.899999999998
A,aircraft,8,23748.899999999998
A,aircraft,9,23748.899999999998
A,aircraft,10,23748.899999999998
A,aircraft,11,23748.899999999998
A,aircraft,12,23748.899999999998
A,aircraft,13,23748.899999999998
A,aircraft,14,23748.899999999998
A,aircraft,15,23748.899999999998
A,aircraft,16,23748.899999999998
A,aircraft,17,23748.899999999998
A,aircraft,18,23748.899999999998
A,aircraft,19,23748.899999999998
A,aircraft,20,23748.899999999998
A,aircraft,21,23748.899999999998
A,aircraft,22,23748.899999999998
A,aircraft,23,23748.899999999998
A,aircraft,24,23748.899999999998
A,aircraft,25,23748.899999999998
A,aircraft,26,23748.899999999998
A,aircraft,27,23748.899999999998
A,aircraft,28,23748.899999999998
A,aircraft,29,23748.899999999998
A,aircraft,30,23748.899999999998
A,aircraft,31,23748.899999999998
A,aircraft,32,23748.899999999998
A,aircraft,33,23748.899999999998
A,aircraft,34,23748.899999999998
A,aircraft,35,23748.899999999998
A,aircraft,36,23748.899999999998
A,aircraft,37,23748.899999999998
A,aircraft,38,23748.899999999998
A,aircraft,39,23748.899999999998
A,aircraft,40,23748.899999999998
A,aircraft,41,23748.899999999998
A,aircraft,42,23748.899999999998
A,aircraft,43,23748.899999999998
A,aircraft,44,23748.899999999998
A,aircraft,45,23748.899999999998
A,aircraft,46,23748.899999999998
A,aircraft,47,23748.899999999998
A,aircraft,48,23748.899999999998
A,aircraft,49,23748.899999999998
A,aircraft,50,23748.899999999998
A,aircraft,51,23748.899999999998
A,aircraft,52,23748.899999999998
A,aircraft,53,23748.899999999998
A,aircraft,54,23748.899999999998
A,aircraft,55,23748.899999999998
A,aircraft,56,23748.899999999998
A,aircraft,57,23748.899999999998
A,aircraft,58,23748.899999999998
A,aircraft,59,23748.899999999998
A,aircraft,60,23748.899999999998
B,truck,1,4883.910000000001
B,truck,2,4883.910000000001
B,truck,3,4883.910000000001
B,truck,4,4883.910000000001
B,truck,5,4883.910000000001
B,truck,6,4883.910000000001
B,truck,7,4883.910000000001
B,truck,8,4883.910000000001
B,truck,9,4883.910000000001
B,truck,10,4883.910000000001
B,truck,11,4883.910000000001
B,truck,12,4883.910000000001
B,truck,13,4883.910000000001
B,truck,14,4883.910000000001
B,truck,15,4883.910000000001
B,truck,16,4883.910000000001
B,truck,17,4883.910000000001
B,truck,18,4883.910000000001
B,truck,19,4883.910000000001
B,truck,20,4883.910000000001
B,truck,21,4883.910000000001
B,truck,22,4883.910000000001
B,truck,23,4883.910000000001
B,truck,24,4883.910000000001
B,truck,25,4883.910000000001
B,truck,26,4883.910000000001
B,truck,27,4883.910000000001
B,truck,28,4883.910000000001
B,truck,29,4883.910000000001
B,truck,30,4883.910000000001
B,truck,31,4883.910000000001
B,truck,32,4883.910000000001
B,truck,33,4883.910000000001
B,truck,34,4883.910000000001
B,truck,35,4883.910000000001
B,truck,36,4883.910000000001
B,truck,37,4883.910000000001
B,truck,38,4883.910000000001
B,truck,39,4883.910000000001
B,truck,40,4883.910000000001
B,truck,41,4883.910000000001
B,truck,42,4883.910000000001
B,truck,43,4883.910000000001
B,truck,44,4883.910000000001
B,truck,45,4883.910000000001
B,tank,1,15849.037499999999
B,tank,2,15849.037499999999
B,tank,3,15849.037499999999
B,tank,4,15849.037499999999
B,tank,5,15849.037499999999
B,tank,6,15849.037499999999
B,tank,7,15849.037499999999
B,tank,8,15849.037499999999
B,tank,9,15849.037499999999
B,tank,10,15849.037499999999
B,tank,11,15849.037499999999
B,tank,12,15849.037499999999
B,tank,13,15849.037499999999
B,tank,14,15849.037499999999
B,tank,15,15849.037499999999
B,tank,16,15849.037499999999
B,tank,17,15849.037499999999
B,tank,18,15849.037499999999
B,tank,19,15849.037499999999
B,tank,20,15849.037499999999
B,tank,21,15849.037499999999
B,tank,22,15849.037499999999
B,tank,23,15849.037499999999
B,tank,24,15849.037499999999
B,tank,25,15849.037499999999
B,tank,26,15849.037499999999
B,tank,27,15849.037499999999
B,tank,28,15849.037499999999
B,tank,29,15849.037499999999
B,tank,30,15849.037499999999
B,tank,31,15849.037499999999
B,tank,32,15849.037499999999
B,tank,33,15849.037499999999
B,tank,34,15849.037499999999
B,tank,35,15849.037499999999
B,tank,36,15849.037499999999
B,tank,37,15849.037499999999
B,tank,38,15849.037499999999
B,tank,39,15849.037499999999
B,tank,40,15849.037499999999
B,tank,41,15849.037499999999
B,tank,42,15849.037499999999
B,tank,43,15849.037499999999
B,tank,44,15849.037499999999
B,tank,45,15849.037499999999
B,aircraft,1,35623.35
B,aircraft,2,35623.35
B,aircraft,3,35623.35
B,aircraft,4,35623.35
B,aircraft,5,35623.35
B,aircraft,6,35623.35
B,aircraft,7,35623.35
B,aircraft,8,35623.35
B,aircraft,9,35623.35
B,aircraft,10,35623.35
B,aircraft,11,35623.35
B,aircraft,12,35623.35
B,aircraft,13,35623.35
B,aircraft,14,35623.35
B,aircraft,15,35623.35
B,aircraft,16,35623.35
B,aircraft,17,35623.35
B,aircraft,18,35623.35
B,aircraft,19,35623.35
B,aircraft,20,35623.35
B,aircraft,21,35623.35
B,aircraft,22,35623.35
B,aircraft,23,35623.35
B,aircraft,24,35623.35
B,aircraft,25,35623.35
B,aircraft,26,35623.35
B,aircraft,27,35623.35
B,aircraft,28,35623.35
B,aircraft,29,35623.35
B,aircraft,30,35623.35
B,aircraft,31,35623.35
B,aircraft,32,35623.35
B,aircraft,33,35623.35
B,aircraft,34,35623.35
B,aircraft,35,35623.35
B,aircraft,36,35623.35
B,aircraft,37,35623.35
B,aircraft,38,35623.35
B,aircraft,39,35623.35
B,aircraft,40,35623.35
B,aircraft,41,35623.35
B,aircraft,42,35623.35
B,aircraft,43,35623.35
B,aircraft,44,35623.35
B,aircraft,45,35623.35
C,truck,1,6112.12
C,truck,2,6112.12
C,truck,3,6112.12
C,truck,4,6112.12
C,truck,5,6112.12
C,truck,6,6112.12
C,truck,7,6112.12
C,truck,8,6112.12
C,truck,9,6112.12
C,truck,10,6112.12
C,truck,11,6112.12
C,truck,12,6112.12
C,truck,13,6112.12
C,truck,14,6112.12
C,truck,15,6112.12
C,truck,16,6112.12
C,truck,17,6112.12
C,truck,18,6112.12
C,truck,19,6112.12
C,truck,20,6112.12
C,truck,21,6112.12
C,truck,22,6112.12
C,truck,23,6112.12
C,truck,24,6112.12
C,truck,25,6112.12
C,truck,26,6112.12
C,truck,27,6112.12
C,truck,28,6112.12
C,truck,29,6112.12
C,truck,30,6112.12
C,tank,1,10566.025
C,tank,2,10566.025
C,tank,3,10566.025
C,tank,4,10566.025
