level,scenario,class,days,litres_total,trips_total,trips_per_day
class,A,aircraft,60,541800.0000000001,18.060000000000002,0.30100000000000005
class,A,tank,60,646500,21.55,0.3591666666666667
class,A,truck,60,78840,2.628,0.0438
class,B,aircraft,45,609525,20.3175,0.45149999999999996
class,B,tank,45,271181.25,9.039375,0.200875
class,B,truck,45,83565.00000000001,2.7855000000000008,0.06190000000000002
class,C,aircraft,30,135450.00000000003,4.515000000000001,0.15050000000000002
class,C,tank,30,120525,4.0175,0.13391666666666666
class,C,truck,30,69720,2.3240000000000003,0.07746666666666667
scenario,A,ALL,60,1267140,42.238,0.7039666666666667
scenario,B,ALL,45,964271.25,32.142375,0.714275
scenario,C,ALL,30,325695,10.8565,0.36188333333333333
