scenario,day,med,p5,p95
A,1,20205.7104950102,2450.4859839141855,41818.55756931084
A,2,20332.663105944368,2613.733715724584,42567.57709692119
A,3,19981.021650169838,2466.999996774654,41723.43801628893
A,4,20303.483025759888,2498.176543663952,42329.706542786524
A,5,20107.365733161838,2523.418967029775,42422.54813221123
A,6,20652.121089327353,2604.821947992586,42643.4781174558
A,7,20138.361147483734,2451.071865929788,42425.4970243151
A,8,20188.978579773517,2451.071865929788,42329.706542786524
A,9,20022.180132005433,2478.1267581821903,42199.666488957526
A,10,20179.79083499086,2498.176543663952,41818.55756931084
A,11,20278.32363475657,2482.2084265346284,42220.847006851036
A,12,20382.59489906642,2506.227385019638,42484.86750970699
A,13,20417.18793955,2497.872903843184,42220.847006851036
A,14,20028.736918624883,2479.4973106333678,42329.706542786524
A,15,20022.180132005433,2496.3688629913977,42225.568945116065
A,16,20145.804204405045,2452.4970856116533,42329.706542786524
A,17,20002.706556104895,2478.6503761295785,42484.86750970699
A,18,20286.302569866024,2452.4970856116533,42220.847006851036
A,19,19690.971884596016,2447.753667814252,42152.3868907857
A,20,20060.236892506484,2452.4970856116533,42152.3868907857
A,21,20642.87491946548,2506.227385019638,42484.86750970699
A,22,20167.12974368104,2473.438284049814,42329.706542786524
A,23,20045.205855503635,2482.2084265346284,42220.847006851036
A,24,19395.8334043844,2432.44246821287,42329.706542786524
A,25,19981.021650169838,2452.4970856116533,42329.706542786524
A,26,19567.13867040645,2432.603453073683,42152.3868907857
A,27,20218.371586320027,2452.4970856116533,42542.04204111561
A,28,20417.18793955,2578.5856921587474,42329.706542786524
A,29,20132.190037757122,2451.071865929788,42212.72054699713
A,30,20045.205855503635,2482.2084265346284,42220.847006851036
A,31,20278.32363475657,2482.2084265346284,42212.72054699713
A,32,20624.902078821866,2581.4967719949327,42329.706542786524
A,33,20652.121089327353,2496.3688629913977,42329.706542786524
A,34,20022.180132005433,2452.4970856116533,42220.847006851036
A,35,20045.205855503635,2490.1856511752244,42542.04204111561
A,36,20022.180132005433,2450.4859839141855,42212.72054699713
A,37,20060.69214748277,2519.598652916262,42422.54813221123
A,38,20060.236892506484,2449.598305262239,42422.54813221123
A,39,20480.743182882223,2519.598652916262,42484.86750970699
A,40,19972.168560679707,2431.582459210358,42484.86750970699
A,41,20145.804204405045,2490.1856511752244,42329.706542786524
A,42,20060.236892506484,2490.1856511752244,42152.3868907857
A,43,20072.033726213496,2448.258398945819,41830.94307556009
A,44,20417.18793955,2506.227385019638,42212.72054699713
A,45,20188.978579773517,2506.965709017553,42329.706542786524
A,46,20336.093632183725,2510.8367111139364,42220.847006851036
A,47,20218.371586320027,2574.6475619579546,42220.847006851036
A,48,20167.12974368104,2466.999996774654,42152.3868907857
A,49,20167.12974368104,2505.2977267608203,42329.706542786524
A,50,20045.205855503635,2450.4859839141855,42212.72054699713
A,51,20286.302569866024,2498.176543663952,42422.54813221123
A,52,20507.391750227715,2519.598652916262,42332.83130517557
A,53,20382.59489906642,2506.227385019638,42220.847006851036
A,54,20188.978579773517,2523.418967029775,42567.57709692119
A,55,20425.979477568988,2569.7254445282065,42212.72054699713
A,56,20254.34004967637,2511.256273288192,42422.54813221123
A,57,20387.455623447062,2609.055508003289,42422.54813221123
A,58,20002.706556104895,2469.8152520103417,42542.04204111561
A,59,19913.63155822028,2450.4859839141855,42152.3868907857
A,60,20254.34004967637,2490.1856511752244,42199.666488957526
B,1,15821.317364900573,3407.0865179647203,48186.604069312976
B,2,15963.07835993855,3429.7513046130944,48324.99187432251
B,3,15979.021641082865,3458.511089369255,47372.36261346214
B,4,15504.525393968086,3362.6160982228657,48020.10258815333
B,5,15423.413257883802,3232.354265404335,47816.222994954594
B,6,15554.746845342677,3392.522099804909,47372.36261346214
B,7,16012.530788512482,3417.6169069010666,48186.604069312976
B,8,15534.336304360673,3408.280565316169,47949.93259168855
B,9,15704.393181446765,3442.828276340591,47372.36261346214
B,10,15979.021641082865,3417.4716509075606,47949.93259168855
B,11,15979.021641082865,3493.469887925149,48061.075958796486
B,12,15561.300489224755,3407.0865179647203,47816.222994954594
B,13,16054.945601127904,3431.745271324561,48054.00400765169
B,14,15988.497298309088,3411.463559898054,48020.10258815333
B,15,15909.532931631698,3407.0865179647203,48054.00400765169
B,16,15801.899078500766,3367.151926315176,47816.222994954594
B,17,15948.154316353102,3442.828276340591,47816.222994954594
B,18,16112.383750059198,3442.828276340591,47334.53701016077
B,19,15937.163720255212,3429.7513046130944,48324.99187432251
B,20,15658.98702459465,3352.39935273136,47949.93259168855
B,21,16365.252512152405,3646.278856679241,48054.00400765169
B,22,16096.368043068014,3478.144287875903,48407.109357837966
B,23,16130.643160185376,3431.745271324561,47372.36261346214
B,24,15547.470685511671,3411.463559898054,47949.93259168855
B,25,15909.532931631698,3431.745271324561,48186.604069312976
B,26,15534.336304360673,3417.6169069010666,47173.70568633961
B,27,15704.393181446765,3432.450131443974,48054.00400765169
B,28,16112.383750059198,3431.745271324561,48407.109357837966
B,29,15518.767295269656,3356.0830272957046,47311.53630323335
B,30,15821.317364900573,3507.216961950631,48186.604069312976
B,31,15609.265321734598,3375.9107816766978,47372.36261346214
B,32,15942.612106614437,3407.0865179647203,48054.00400765169
B,33,15399.629401060618,3188.067309206142,47334.53701016077
B,34,16054.945601127904,3450.678185974033,47949.93259168855
B,35,15554.746845342677,3411.463559898054,48020.10258815333
B,36,16107.238587136922,3525.801502160402,48020.10258815333
B,37,15801.899078500766,3431.745271324561,48054.00400765169
B,38,15942.612106614437,3367.151926315176,48186.604069312976
B,39,15883.540886953651,3352.01250494297,47311.53630323335
B,40,15547.470685511671,3407.0865179647203,48186.604069312976
B,41,15609.265321734598,3417.6169069010666,47372.36261346214
B,42,15771.630426493084,3508.482121478696,48054.00400765169
B,43,15801.899078500766,3410.594306335217,48186.604069312976
B,44,15847.30940957862,3467.2719019406304,47311.53630323335
B,45,15861.452308068805,3429.7513046130944,48324.99187432251
