scenario,day,med,p5,p95
A,1,18526.46561004078,2108.5340399634674,26911.82580410099
A,2,18526.46561004078,2108.5340399634674,26911.82580410099
A,3,18526.46561004078,2108.5340399634674,26911.82580410099
A,4,18526.46561004078,2108.5340399634674,26911.82580410099
A,5,18526.46561004078,2108.5340399634674,26911.82580410099
A,6,18526.46561004078,2108.5340399634674,26911.82580410099
A,7,18528.061488387175,2108.5340399634674,26977.630869508717
A,8,18615.00220689425,2110.563948430338,27278.341011872388
A,9,18658.68746122829,2110.8830743919266,27842.7319419931
A,10,19111.579565359152,2122.1290845936255,28508.662192990465
A,11,19735.122003596793,2150.3110892446252,29084.586369501936
A,12,20502.49032155511,2203.424881552621,30378.067357484568
A,13,21164.393774791137,2303.473231148877,31237.098807895225
A,14,21896.87750600748,2392.912925446285,31615.425318157762
A,15,22484.55359430091,2728.351090137516,32028.16844957525
A,16,22926.75335402613,2914.0728556278464,32187.270526753615
A,17,23173.724302075712,3003.6838080606963,32350.170078886804
A,18,23271.548088989126,3035.487399196624,32396.795633249716
A,19,23356.38309601472,3051.718673180618,32434.961293023887
A,20,23364.983305530153,3055.511177866667,32434.961293023887
A,21,23389.527205956605,3063.2619598070924,32434.961293023887
A,22,23396.432303085385,3064.1573833614466,32434.961293023887
A,23,23396.432303085385,3064.1573833614466,32434.961293023887
A,24,23396.432303085385,3064.1573833614466,32434.961293023887
A,25,23396.432303085385,3064.1573833614466,32434.961293023887
A,26,23396.432303085385,3064.1573833614466,32434.961293023887
A,27,23396.432303085385,3064.1573833614466,32434.961293023887
A,28,23396.432303085385,3064.1573833614466,32434.961293023887
A,29,23396.432303085385,3064.1573833614466,32434.961293023887
A,30,23396.432303085385,3064.1573833614466,32434.961293023887
A,31,23396.432303085385,3064.1573833614466,32434.961293023887
A,32,23396.432303085385,3064.1573833614466,32434.961293023887
A,33,23396.432303085385,3064.1573833614466,32434.961293023887
A,34,23396.432303085385,3064.1573833614466,32434.961293023887
A,35,23396.432303085385,3064.1573833614466,32434.961293023887
A,36,23396.432303085385,3064.1573833614466,32434.961293023887
A,37,23396.432303085385,3064.1573833614466,32434.961293023887
A,38,23396.432303085385,3064.1573833614466,32434.961293023887
A,39,23396.432303085385,3064.1573833614466,32434.961293023887
A,40,23396.432303085385,3064.1573833614466,32434.961293023887
A,41,23404.72167069836,3064.1573833614466,32434.961293023887
A,42,23404.72167069836,3064.1573833614466,32434.961293023887
A,43,23379.302885681922,3055.511177866667,32396.795633249716
A,44,23356.937010139263,3047.994273460404,32369.390097504584
A,45,23265.012823573263,3011.902045383606,32186.96582870728
A,46,23225.438629415825,2977.792380802916,32039.658276862763
A,47,23008.08047674674,2852.6444297066964,31788.49357646937
A,48,22830.218578363347,2757.0928324014426,31531.585413866796
A,49,22496.182211427345,2715.66948915117,31003.75809179154
A,50,22171.955355989212,2684.613442469891,30691.739429718353
A,51,21931.97931811541,2646.6718936858974,29745.091156278435
A,52,21776.476499447173,2631.7177045664776,29125.92524486948
A,53,21738.4793805742,2623.9013422390053,28987.7302438276
A,54,21738.4793805742,2613.8894155997355,28842.218611857643
A,55,21726.8730929597,2613.8894155997355,28826.86212712676
A,56,21726.8730929597,2613.8894155997355,28826.86212712676
A,57,21726.8730929597,2613.8894155997355,28826.86212712676
A,58,21726.8730929597,2613.8894155997355,28826.86212712676
A,59,21726.8730929597,2613.8894155997355,28826.86212712676
A,60,21726.8730929597,2613.8894155997355,28826.86212712676
B,1,14252.655966219452,3398.9570714212214,34149.01720336294
B,2,14252.655966219452,3398.9570714212214,34149.01720336294
B,3,14252.655966219452,3398.9570714212214,34149.01720336294
B,4,14252.655966219452,3398.9570714212214,34149.01720336294
B,5,14252.655966219452,3398.9570714212214,34149.01720336294
B,6,14252.655966219452,3398.9570714212214,34149.01720336294
B,7,14255.090562796473,3399.3341864925765,34509.401734890125
B,8,14383.70263471305,3400.1379044954087,34668.171526967235
B,9,14479.290691029397,3403.061668578785,34877.149374342494
B,10,14576.907329076052,3455.418909645723,35599.77691462002
B,11,14766.300577478385,3506.0538445513534,36839.26738013343
B,12,15483.720377200258,3615.21914450313,37864.82808807632
B,13,15945.735156176332,3821.9008097181077,39335.54194408947
B,14,16344.159898634918,4238.84669533154,39680.00198823685
B,15,16439.73343888137,4530.639148876735,40134.43132707581
B,16,16486.348261495266,4709.108018995487,40173.03787789493
B,17,16499.808780369938,4720.466463167471,40173.03787789493
B,18,16496.96589296253,4739.106689839264,40368.65716338456
B,19,16499.808780369938,4741.030201863888,40368.65716338456
B,20,16499.808780369938,4741.030201863888,40368.65716338456
B,21,16499.808780369938,4741.030201863888,40368.65716338456
B,22,16499.808780369938,4741.030201863888,40368.65716338456
B,23,16499.808780369938,4741.030201863888,40368.65716338456
B,24,16499.808780369938,4741.030201863888,40368.65716338456
B,25,16499.808780369938,4741.030201863888,40368.65716338456
B,26,16496.96589296253,4739.106689839264,40368.65716338456
B,27,16496.96589296253,4739.106689839264,40368.65716338456
B,28,16492.010025818257,4731.462717139502,40368.65716338456
B,29,16486.348261495266,4720.466463167471,40288.159545237446
B,30,16496.96589296253,4690.768720716212,40134.43132707581
B,31,16486.348261495266,4586.845912413705,40052.11786344529
B,32,16456.507887516113,4503.088900464514,40173.03787789493
B,33,16277.013142926293,4330.618972486828,39918.9452068533
B,34,16004.169676863203,4231.80111300805,39978.450265103245
B,35,15678.026545687822,4122.703340724262,39588.987878264874
B,36,15428.770761421834,4038.7360912961676,39332.56401796144
B,37,15303.50357255822,4003.1392174868847,39016.874294892754
